generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
1,5100,0,1,G1_CMAX,0.47631609963523663,0.3917013734265269,0.5843274258017356,0.2816012124949221,0.16030098272873924,WOR,SEQ,0.5843274258017356,0.47631609963523663,0.10801132616649894,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5105,1,1,G1_CMAX,0.43742141660494177,0.3752134707747464,0.49744096365728796,0.2717983018574447,0.12121611156715112,WOR,SEQ,0.49744096365728796,0.43742141660494177,0.06001954705234619,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,APPLY,N1
1,5106,2,1,G1_CMAX,0.5035878022993888,0.5590442370403519,0.4370708284946974,0.2635656161265463,0.1580031523013622,MAC,SEQ,0.5590442370403519,0.5035878022993888,0.05545643474096307,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N3
1,5107,3,0,G1_CMAX,0.5040962121831617,0.5985689412224473,0.5104859655437861,0.2636370223494864,0.08076183035953671,MAC,WOR,0.5985689412224473,0.5104859655437861,0.08808297567866119,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,APPLY,N3
1,5108,4,1,G1_CMAX,0.47760935803591986,0.5089285858038318,0.4628617563343485,0.2482110149240367,0.15388068025413099,MAC,SEQ,0.5089285858038318,0.47760935803591986,0.03131922776791196,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,5112,5,1,G1_CMAX,0.47826030349428783,0.5112320438869355,0.46629131873060947,0.3161819976060062,0.16828127194520315,MAC,SEQ,0.5112320438869355,0.47826030349428783,0.03297174039264772,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5117,6,0,G1_CMAX,0.565150716967882,0.6998985443414018,0.6246990783889981,0.3099861019518791,0.1288391166522885,MAC,WOR,0.6998985443414018,0.6246990783889981,0.07519946595240368,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N1
1,5118,7,1,G1_CMAX,0.3880400325984513,0.4255203967010681,0.5433003449304765,0.3224849193945553,0.1676589924206516,WOR,MAC,0.5433003449304765,0.4255203967010681,0.1177799482294084,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N1
1,5119,8,0,G1_CMAX,0.5771855280139548,0.7206094165786563,0.6464726491558509,0.2730664745452159,0.1404822826520771,MAC,WOR,0.7206094165786563,0.6464726491558509,0.0741367674228054,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N1
1,5120,9,1,G1_CMAX,0.519716732724841,0.49493628218855723,0.5493955412483296,0.25916083726141304,0.12837751760477717,WOR,SEQ,0.5493955412483296,0.519716732724841,0.029678808523488587,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,APPLY,N1
